City,Grad+/Pro_Rate,HS_Grad,No_HS_Diploma,Median_Earnings,Unemployment_Rate,Population,Crime_Rate,Vacancy_Rate,Enforcement_Rate,Poverty_Rate,Pub_Health_Rate,Priv_Health_Rate
beaverton,0.4552669746454663,15280.0,1906.0,44036.0,0.037284957731653565,1176.0,0.006802721088435374,0.05159230134248599,0.002551020408163265,0.09133763668573988,0.24215977848425801,0.7748333504255974
bend,0.45995833333333336,11656.0,2323.0,35253.0,0.04180529437292058,100588.0,0.020748001749711694,0.11648938557515372,0.0013222253151469361,0.10210630491937661,0.32517615122058324,0.7108724725044412
central point,0.18349981502034776,4036.0,869.0,34255.0,0.01959338459917834,18753.0,0.02116994614195062,0.0,0.0018130432464139072,0.08969485256344395,0.4711805198808178,0.6371108599609576
eugene,0.42569628328483167,20102.0,3397.0,28284.0,0.07050092764378478,173183.0,0.0398480220344953,0.03608233871391766,0.0017669170761564358,0.17320318157606515,0.36146979302629123,0.7014264404251351
forest grove,0.3140236079035155,3458.0,805.0,29115.0,0.04985108495248901,25063.0,0.02074771575629414,0.016697804764128913,0.0013964808682121056,0.07014036233066753,0.4215678565812235,0.6963752162289668
grants pass,0.16506205340353516,10220.0,1804.0,24210.0,0.09687465850726697,38475.0,0.03542560103963613,0.04440083404881639,0.0023651721897335934,0.1561085352135861,0.5756207674943566,0.4298499535254282
gresham,0.24525054353452738,19148.0,6429.0,32055.0,0.06156425716414877,110692.0,0.03578397716185452,0.05285747609050618,0.0014544863224081235,0.11531568152842704,0.40124789796274685,0.6268527792837911
hillsboro,0.4086983721151623,15021.0,2959.0,42062.0,0.03690521441653132,5972.0,0.019089082384460818,0.0549393285193181,0.00390625,0.08588279000650134,0.26513531279800756,0.7960169985834514
keizer,0.29664224452237925,6404.0,1800.0,40533.0,0.06186544683699654,40109.0,0.01772669475678775,0.061153001246808766,0.0011718068263980653,0.1150511815998989,0.43624415518766585,0.6268419057247567
klamath falls,0.1728613942886089,5236.0,1540.0,26077.0,0.07337353801169591,22447.0,0.038178821223326054,0.056385193230156574,0.0018265247026328685,0.19330769934999542,0.5490860165166559,0.46079613992762364
lake oswego,0.7278489978043771,2167.0,369.0,68639.0,0.07069798808587165,39888.0,0.012710589651022864,0.054525014052838675,0.001629562775772162,0.018922999496728737,0.32453447408152997,0.8041519879214897
mcminnville,0.24897185710829772,5560.0,2385.0,29827.0,0.058190601668862536,34935.0,0.023844282238442822,0.0958444581365099,0.00140260483755546,0.12113906885641103,0.38960319542843813,0.6351205574506545
oak grove,0.2705838088668715,3926.0,1489.0,37799.0,0.09290214195716086,7359.0,0.04565837749694252,0.0,0.0031254246500883273,0.06534717119764878,0.3392234257389389,0.7208096199742978
oregon,0.25716563532136216,7358.0,1178.0,41220.0,0.07053596223271313,755.0,0.006622516556291391,0.056724194073591666,0.0025929127052722557,0.062095342166370714,0.27815382935749766,0.708008079043616
redmond,0.20966117216117217,5006.0,1351.0,32195.0,0.08498850710202158,31558.0,0.03783509728119653,0.00735946089732222,0.0015210089359274986,0.1218056857232115,0.4427301900765243,0.7068007899284128
roseburg,0.21700594693504116,5563.0,858.0,26957.0,0.05395968893826377,23447.0,0.0610739113745895,0.04329672324589271,0.0017486245575126882,0.07977699342210813,0.48038665169260386,0.5975854323760629
