"Label (Grouping)","Total:","Total:!!Under 18 years","Total:!!18 to 24 years","Total:!!25 to 34 years","Total:!!35 to 44 years","Total:!!45 to 54 years","Total:!!55 to 64 years","Total:!!65 years and over"
"    Estimate","24,329","5,487","2,287","4,477","4,534","3,599","2,021","1,924"
"Corona city, California","","","","","","","",""
"    Estimate","169,854","42,645","14,243","27,093","26,115","21,423","22,885","15,450"
"Coronado city, California","","","","","","","",""
"    Estimate","21,240","4,524","3,278","2,514","2,301","2,092","2,296","4,235"
"Costa Mesa city, California","","","","","","","",""
"    Estimate","113,011","26,051","7,764","22,806","17,461","14,892","9,871","14,166"
"Covina city, California","","","","","","","",""
"    Estimate","47,455","10,158","3,322","6,660","8,317","5,954","6,155","6,889"
"Cudahy city, California","","","","","","","",""
"    Estimate","22,765","6,367","2,596","4,508","2,370","2,340","2,711","1,873"
"Culver City city, California","","","","","","","",""
"    Estimate","39,186","7,786","1,251","6,216","6,697","6,480","5,108","5,648"
"Cupertino city, California","","","","","","","",""
"    Estimate","59,280","13,830","4,915","4,861","8,877","10,274","6,771","9,752"
"Cypress city, California","","","","","","","",""
"    Estimate","49,009","12,065","3,352","3,825","8,710","6,979","5,888","8,190"
"Daly City city, California","","","","","","","",""
"    Estimate","106,294","17,506","10,132","16,265","16,966","11,705","15,214","18,506"
"Dana Point city, California","","","","","","","",""
"    Estimate","33,581","4,288","1,817","2,116","3,257","5,991","6,452","9,660"
"Danville town, California","","","","","","","",""
"    Estimate","44,498","10,913","2,702","2,583","5,775","6,789","7,882","7,854"
"Davis city, California","","","","","","","",""
"    Estimate","69,420","8,038","25,196","9,400","6,115","7,093","5,864","7,714"
"Delano city, California","","","","","","","",""
"    Estimate","53,568","13,191","6,505","9,464","7,908","6,684","5,660","4,156"
"Desert Hot Springs city, California","","","","","","","",""
"    Estimate","28,886","5,799","2,826","4,638","5,391","2,297","3,780","4,155"
"Diamond Bar city, California","","","","","","","",""
"    Estimate","55,710","10,429","3,334","6,263","6,258","7,474","9,845","12,107"
"Dinuba city, California","","","","","","","",""
"    Estimate","24,472","7,970","2,670","3,354","2,969","2,533","2,260","2,716"
"Dixon city, California","","","","","","","",""
"    Estimate","24,083","5,820","2,956","4,020","2,423","2,440","1,996","4,428"
"Downey city, California","","","","","","","",""
"    Estimate","111,127","25,283","11,394","16,355","13,560","18,744","11,975","13,816"
"Duarte city, California","","","","","","","",""
"    Estimate","20,282","3,270","1,525","2,339","3,469","2,105","2,865","4,709"
"Dublin city, California","","","","","","","",""
"    Estimate","64,824","16,641","2,707","10,799","12,789","8,068","7,095","6,725"
"East Hemet CDP, California","","","","","","","",""
"    Estimate","19,084","5,928","1,975","3,487","1,852","2,304","1,047","2,491"
"East Los Angeles CDP, California","","","","","","","",""
"    Estimate","119,890","31,426","13,269","20,422","14,649","14,055","13,984","12,085"
"East Palo Alto city, California","","","","","","","",""
"    Estimate","29,309","8,425","2,350","5,981","4,292","2,577","3,293","2,391"
"Eastvale city, California","","","","","","","",""
"    Estimate","64,161","20,909","6,741","8,526","10,498","9,879","4,366","3,242"
"El Cajon city, California","","","","","","","",""
"    Estimate","102,699","24,473","9,004","17,981","14,731","10,563","13,145","12,802"
"El Centro city, California","","","","","","","",""
"    Estimate","44,081","11,710","4,422","4,774","4,991","5,121","5,721","7,342"
"El Cerrito city, California","","","","","","","",""
"    Estimate","25,514","4,634","2,033","2,391","4,394","4,819","3,171","4,072"
"El Dorado Hills CDP, California","","","","","","","",""
"    Estimate","52,655","14,055","2,832","3,924","6,142","7,120","9,040","9,542"
"Elk Grove city, California","","","","","","","",""
"    Estimate","174,791","42,001","13,520","22,841","22,666","28,404","24,204","21,155"
"El Monte city, California","","","","","","","",""
"    Estimate","115,477","23,535","12,267","16,841","17,472","15,948","11,166","18,248"
"El Paso de Robles (Paso Robles) city, California","","","","","","","",""
"    Estimate","32,154","7,542","3,872","3,389","3,973","4,222","4,223","4,933"
"Encinitas city, California","","","","","","","",""
"    Estimate","62,703","13,931","3,754","6,607","8,404","8,249","8,217","13,541"
"Escondido city, California","","","","","","","",""
"    Estimate","151,619","35,293","13,968","20,879","19,264","18,432","20,320","23,463"
"Eureka city, California","","","","","","","",""
"    Estimate","26,717","4,626","3,098","5,016","4,101","3,005","2,640","4,231"
"Fairfield city, California","","","","","","","",""
"    Estimate","117,136","28,285","10,331","19,505","16,587","14,555","12,634","15,239"
"Fair Oaks CDP, California","","","","","","","",""
"    Estimate","30,207","5,357","2,514","2,748","3,986","3,713","5,163","6,726"
"Fallbrook CDP, California","","","","","","","",""
"    Estimate","29,549","8,104","2,108","5,305","2,806","2,186","4,183","4,857"
"Florence-Graham CDP, California","","","","","","","",""
"    Estimate","70,149","20,694","6,374","12,153","9,623","7,556","8,078","5,671"
"Florin CDP, California","","","","","","","",""
"    Estimate","44,166","9,494","3,357","5,851","5,669","5,390","7,137","7,268"
"Folsom city, California","","","","","","","",""
"    Estimate","81,324","18,582","5,632","10,696","12,548","13,962","9,626","10,278"
"Fontana city, California","","","","","","","",""
"    Estimate","214,557","61,051","23,800","29,688","33,742","26,715","18,548","21,013"
"Foothill Farms CDP, California","","","","","","","",""
"    Estimate","42,585","13,363","3,313","8,385","5,043","3,879","4,266","4,336"
"Foster City city, California","","","","","","","",""
"    Estimate","33,905","7,050","1,564","5,293","4,325","4,643","4,163","6,867"
"Fountain Valley city, California","","","","","","","",""
"    Estimate","55,347","11,119","4,545","6,489","7,471","6,607","9,015","10,101"
"Fremont city, California","","","","","","","",""
"    Estimate","241,117","54,543","14,047","37,237","38,758","35,641","30,662","30,229"
"French Valley CDP, California","","","","","","","",""
"    Estimate","42,401","11,838","2,059","5,858","7,578","5,562","4,260","5,246"
"Fresno city, California","","","","","","","",""
"    Estimate","531,581","148,155","55,562","88,365","72,581","52,777","51,530","62,611"
"Fullerton city, California","","","","","","","",""
"    Estimate","138,638","31,782","15,670","21,027","18,483","17,340","15,010","19,326"
"Galt city, California","","","","","","","",""
"    Estimate","26,536","7,486","1,287","3,257","3,372","3,982","2,910","4,242"
"Gardena city, California","","","","","","","",""
"    Estimate","59,333","10,470","4,423","9,169","7,858","7,889","9,353","10,171"
"Garden Grove city, California","","","","","","","",""
"    Estimate","171,670","34,985","14,586","26,453","19,055","24,800","22,494","29,297"
"Gilroy city, California","","","","","","","",""
"    Estimate","59,046","18,838","5,403","6,819","9,190","6,937","6,640","5,219"
"Glendale city, California","","","","","","","",""
"    Estimate","199,301","37,877","13,748","29,702","28,883","26,429","26,338","36,324"
"Glendora city, California","","","","","","","",""
"    Estimate","51,545","11,450","4,032","7,222","6,052","6,965","7,164","8,660"
"Goleta city, California","","","","","","","",""
"    Estimate","30,918","7,206","4,632","4,766","3,866","2,757","3,624","4,067"
"Granite Bay CDP, California","","","","","","","",""
"    Estimate","21,140","4,329","1,614","1,356","2,557","2,883","4,219","4,182"
"Greenfield city, California","","","","","","","",""
"    Estimate","20,445","7,381","1,573","3,753","2,051","1,702","1,910","2,075"
"Hacienda Heights CDP, California","","","","","","","",""
"    Estimate","50,803","9,270","3,782","7,166","5,676","8,290","6,199","10,420"
"Hanford city, California","","","","","","","",""
"    Estimate","57,705","16,141","5,248","8,265","7,889","7,412","5,450","7,300"
"Hawthorne city, California","","","","","","","",""
