"Label (Grouping)","Median earnings in the past 12 months (in 2019 Inflation-adjusted dollars) --!!Total (dollars):"
"    Estimate","25,765"
"Pasadena city, California",""
"    Estimate","51,080"
"Patterson city, California",""
"    Estimate","32,222"
"Perris city, California",""
"    Estimate","31,117"
"Petaluma city, California",""
"    Estimate","45,857"
"Pico Rivera city, California",""
"    Estimate","32,163"
"Pinole city, California",""
"    Estimate","45,315"
"Pittsburg city, California",""
"    Estimate","41,139"
"Placentia city, California",""
"    Estimate","51,688"
"Pleasant Hill city, California",""
"    Estimate","70,780"
"Pleasanton city, California",""
"    Estimate","90,433"
"Pomona city, California",""
"    Estimate","30,390"
"Porterville city, California",""
"    Estimate","27,500"
"Port Hueneme city, California",""
"    Estimate","26,595"
"Poway city, California",""
"    Estimate","48,241"
"Ramona CDP, California",""
"    Estimate","31,907"
"Rancho Cordova city, California",""
"    Estimate","38,073"
"Rancho Cucamonga city, California",""
"    Estimate","42,406"
"Rancho Palos Verdes city, California",""
"    Estimate","61,558"
"Rancho San Diego CDP, California",""
"    Estimate","40,741"
"Rancho Santa Margarita city, California",""
"    Estimate","57,306"
"Red Bluff city, California",""
"    Estimate","20,980"
"Redding city, California",""
"    Estimate","33,571"
"Redlands city, California",""
"    Estimate","41,512"
"Redondo Beach city, California",""
"    Estimate","69,447"
"Redwood City city, California",""
"    Estimate","70,229"
"Reedley city, California",""
"    Estimate","27,550"
"Rialto city, California",""
"    Estimate","31,396"
"Richmond city, California",""
"    Estimate","36,769"
"Ridgecrest city, California",""
"    Estimate","40,966"
"Rio Linda CDP, California",""
"    Estimate","40,863"
"Riverbank city, California",""
"    Estimate","40,494"
"Riverside city, California",""
"    Estimate","32,431"
"Rocklin city, California",""
"    Estimate","51,115"
"Rohnert Park city, California",""
"    Estimate","41,829"
"Rosamond CDP, California",""
"    Estimate","48,904"
"Rosemead city, California",""
"    Estimate","31,314"
"Rosemont CDP, California",""
"    Estimate","37,293"
"Roseville city, California",""
"    Estimate","53,098"
"Rowland Heights CDP, California",""
"    Estimate","35,895"
"Sacramento city, California",""
"    Estimate","37,448"
"Salinas city, California",""
"    Estimate","27,747"
"San Bernardino city, California",""
"    Estimate","26,871"
"San Bruno city, California",""
"    Estimate","53,341"
"San Buenaventura (Ventura) city, California",""
"    Estimate","40,882"
"San Carlos city, California",""
"    Estimate","97,005"
"San Clemente city, California",""
"    Estimate","59,556"
"San Diego city, California",""
