"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99"
"    Estimate","26,391","823","1,499"
"Gardena city, California","","",""
"    Estimate","58,705","3,826","3,425"
"Garden Grove city, California","","",""
"    Estimate","170,788","10,734","7,631"
"Gilroy city, California","","",""
"    Estimate","57,312","577","5,875"
"Glendale city, California","","",""
"    Estimate","197,976","9,053","16,127"
"Glendora city, California","","",""
"    Estimate","50,809","1,556","3,184"
"Goleta city, California","","",""
"    Estimate","30,705","2,135","2,419"
"Granite Bay CDP, California","","",""
"    Estimate","","",""
"Greenfield city, California","","",""
"    Estimate","20,195","475","1,739"
"Hacienda Heights CDP, California","","",""
"    Estimate","50,381","1,946","2,828"
"Hanford city, California","","",""
"    Estimate","57,335","3,841","4,045"
"Hawthorne city, California","","",""
"    Estimate","85,485","6,603","7,817"
"Hayward city, California","","",""
"    Estimate","156,178","6,884","6,865"
"Hemet city, California","","",""
"    Estimate","83,602","5,964","9,993"
"Hercules city, California","","",""
"    Estimate","26,232","254","829"
"Hesperia city, California","","",""
"    Estimate","95,353","5,229","8,178"
"Highland city, California","","",""
"    Estimate","55,149","1,683","5,351"
"Hollister city, California","","",""
"    Estimate","40,721","2,820","5,060"
"Huntington Beach city, California","","",""
"    Estimate","198,261","7,014","9,504"
"Huntington Park city, California","","",""
"    Estimate","57,360","2,426","7,290"
"Imperial Beach city, California","","",""
"    Estimate","27,131","2,322","1,801"
"Indio city, California","","",""
"    Estimate","90,748","6,513","3,748"
"Inglewood city, California","","",""
"    Estimate","107,330","3,728","11,141"
"Irvine city, California","","",""
"    Estimate","278,635","25,883","12,466"
"Isla Vista CDP, California","","",""
"    Estimate","17,210","9,580","1,655"
"Jurupa Valley city, California","","",""
"    Estimate","108,355","3,296","9,847"
"La Cañada Flintridge city, California","","",""
"    Estimate","","",""
"La Crescenta-Montrose CDP, California","","",""
"    Estimate","","",""
"Ladera Ranch CDP, California","","",""
"    Estimate","","",""
"Lafayette city, California","","",""
"    Estimate","26,367","1,924","528"
"Laguna Beach city, California","","",""
"    Estimate","22,489","633","291"
"Laguna Hills city, California","","",""
"    Estimate","30,923","1,054","2,755"
"Laguna Niguel city, California","","",""
"    Estimate","66,285","1,638","917"
"La Habra city, California","","",""
"    Estimate","60,321","1,986","4,507"
"Lake Elsinore city, California","","",""
"    Estimate","69,077","2,806","2,785"
"Lake Forest city, California","","",""
"    Estimate","85,295","2,010","3,554"
"Lakeside CDP, California","","",""
"    Estimate","19,541","1,135","714"
"Lakewood city, California","","",""
"    Estimate","79,197","2,939","2,637"
