"Label (Grouping)","Total:","Total:!!9th to 12th grade, no diploma","Total:!!High school graduate (includes equivalency)","Total:!!Bachelor's degree","Total:!!Graduate or professional degree"
"Gilroy city, California","","","","",""
"    Estimate","34,805","3,477","7,372","7,011","2,361"
"Glendale city, California","","","","",""
"    Estimate","147,676","7,739","36,787","38,842","21,024"
"Glendora city, California","","","","",""
"    Estimate","36,063","965","7,103","8,196","5,599"
"Goleta city, California","","","","",""
"    Estimate","19,080","655","2,384","5,365","3,755"
"Granite Bay CDP, California","","","","",""
"    Estimate","15,197","429","1,971","3,676","4,973"
"Greenfield city, California","","","","",""
"    Estimate","11,491","1,076","2,680","841","163"
"Hacienda Heights CDP, California","","","","",""
"    Estimate","37,751","2,594","9,010","9,345","3,521"
"Hanford city, California","","","","",""
"    Estimate","36,316","3,560","8,291","4,836","2,735"
"Hawthorne city, California","","","","",""
"    Estimate","54,970","6,227","12,379","9,187","4,249"
"Hayward city, California","","","","",""
"    Estimate","111,419","10,696","30,699","22,654","8,455"
"Hemet city, California","","","","",""
"    Estimate","57,327","6,282","19,487","3,591","2,382"
"Hercules city, California","","","","",""
"    Estimate","20,297","468","3,441","7,244","2,828"
"Hesperia city, California","","","","",""
"    Estimate","58,563","8,270","20,541","5,990","2,657"
"Highland city, California","","","","",""
"    Estimate","29,979","3,142","7,873","4,821","3,118"
"Hollister city, California","","","","",""
"    Estimate","25,821","3,355","6,445","2,882","1,279"
"Huntington Beach city, California","","","","",""
"    Estimate","147,580","5,882","26,988","36,361","24,115"
"Huntington Park city, California","","","","",""
"    Estimate","33,595","6,502","7,532","2,010","637"
"Imperial Beach city, California","","","","",""
"    Estimate","16,849","2,396","4,160","2,223","1,244"
"Indio city, California","","","","",""
"    Estimate","63,334","7,314","15,033","10,350","6,065"
"Inglewood city, California","","","","",""
"    Estimate","73,221","7,432","17,823","12,925","4,526"
"Irvine city, California","","","","",""
"    Estimate","186,687","3,804","12,768","73,060","56,663"
"Isla Vista CDP, California","","","","",""
"    Estimate","4,169","379","275","768","1,076"
"Jurupa Valley city, California","","","","",""
"    Estimate","64,938","6,868","19,580","7,383","2,723"
"La Cañada Flintridge city, California","","","","",""
"    Estimate","12,813","42","555","4,823","5,579"
"La Crescenta-Montrose CDP, California","","","","",""
"    Estimate","14,901","455","2,837","4,549","2,934"
"Ladera Ranch CDP, California","","","","",""
"    Estimate","12,920","268","814","5,283","2,772"
"Lafayette city, California","","","","",""
"    Estimate","17,371","152","1,512","4,483","7,342"
"Laguna Beach city, California","","","","",""
"    Estimate","16,641","168","1,686","5,704","4,316"
"Laguna Hills city, California","","","","",""
"    Estimate","22,809","752","2,980","6,815","5,146"
"Laguna Niguel city, California","","","","",""
"    Estimate","48,025","1,226","4,626","16,372","10,066"
"La Habra city, California","","","","",""
"    Estimate","40,536","2,297","9,904","6,557","4,066"
"Lake Elsinore city, California","","","","",""
"    Estimate","41,316","1,697","12,896","7,297","2,201"
"Lake Forest city, California","","","","",""
"    Estimate","59,734","1,628","7,679","19,843","10,562"
"Lakeside CDP, California","","","","",""
"    Estimate","13,091","657","4,044","2,152","878"
"Lakewood city, California","","","","",""
"    Estimate","53,290","2,116","11,072","12,059","5,309"
"La Mesa city, California","","","","",""
"    Estimate","42,128","1,283","7,540","11,153","5,408"
