"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"Lafayette city, California","","",""
"    Estimate","10,144","9,265","879"
"Laguna Beach city, California","","",""
"    Estimate","12,012","9,856","2,156"
"Laguna Hills city, California","","",""
"    Estimate","11,750","11,033","717"
"Laguna Niguel city, California","","",""
"    Estimate","27,409","24,719","2,690"
"La Habra city, California","","",""
"    Estimate","19,200","18,879","321"
"Lake Elsinore city, California","","",""
"    Estimate","19,946","18,642","1,304"
"Lake Forest city, California","","",""
"    Estimate","30,326","28,460","1,866"
"Lakeside CDP, California","","",""
"    Estimate","7,445","6,868","577"
"Lakewood city, California","","",""
"    Estimate","25,789","25,198","591"
"La Mesa city, California","","",""
"    Estimate","23,194","21,898","1,296"
"La Mirada city, California","","",""
"    Estimate","14,538","14,240","298"
"Lancaster city, California","","",""
"    Estimate","52,755","49,220","3,535"
"La Presa CDP, California","","",""
"    Estimate","10,749","10,452","297"
"La Puente city, California","","",""
"    Estimate","10,203","9,737","466"
"La Quinta city, California","","",""
"    Estimate","28,005","17,942","10,063"
"Lathrop city, California","","",""
"    Estimate","7,260","6,634","626"
"La Verne city, California","","",""
"    Estimate","12,890","12,250","640"
"Lawndale city, California","","",""
"    Estimate","10,666","10,267","399"
"Lemon Grove city, California","","",""
"    Estimate","9,579","9,384","195"
"Lemoore city, California","","",""
"    Estimate","9,717","9,345","372"
"Lennox CDP, California","","",""
"    Estimate","6,277","6,188","89"
"Lincoln city, California","","",""
"    Estimate","18,979","18,375","604"
"Linda CDP, California","","",""
"    Estimate","7,991","7,689","302"
"Livermore city, California","","",""
"    Estimate","31,367","30,545","822"
"Lodi city, California","","",""
"    Estimate","24,445","22,733","1,712"
"Loma Linda city, California","","",""
"    Estimate","11,177","9,146","2,031"
"Lomita city, California","","",""
"    Estimate","9,615","9,262","353"
"Lompoc city, California","","",""
"    Estimate","12,781","12,119","662"
"Long Beach city, California","","",""
"    Estimate","176,189","165,689","10,500"
"Los Altos city, California","","",""
"    Estimate","10,592","10,454","138"
"Los Angeles city, California","","",""
"    Estimate","1,532,364","1,398,900","133,464"
"Los Banos city, California","","",""
"    Estimate","11,797","11,124","673"
"Los Gatos town, California","","",""
"    Estimate","13,130","11,562","1,568"
"Lynwood city, California","","",""
"    Estimate","15,422","15,142","280"
"Madera city, California","","",""
"    Estimate","17,942","16,625","1,317"
"Manhattan Beach city, California","","",""
"    Estimate","14,948","14,139","809"
"Manteca city, California","","",""
"    Estimate","27,147","26,047","1,100"
"Marina city, California","","",""
"    Estimate","7,161","7,161","0"
"Martinez city, California","","",""
"    Estimate","16,059","15,462","597"
"Maywood city, California","","",""
"    Estimate","6,551","6,464","87"
"Mead Valley CDP, California","","",""
"    Estimate","5,290","4,801","489"
"Menifee city, California","","",""
"    Estimate","32,054","29,356","2,698"
"Menlo Park city, California","","",""
"    Estimate","14,311","12,664","1,647"
"Merced city, California","","",""
"    Estimate","26,025","25,005","1,020"
"Millbrae city, California","","",""
"    Estimate","8,567","7,965","602"
"Milpitas city, California","","",""
"    Estimate","27,376","26,052","1,324"
"Mission Viejo city, California","","",""
"    Estimate","35,818","34,017","1,801"
"Modesto city, California","","",""
"    Estimate","74,272","71,325","2,947"
"Monrovia city, California","","",""
"    Estimate","14,705","13,604","1,101"
"Montclair city, California","","",""
"    Estimate","11,705","11,406","299"
"Montebello city, California","","",""
"    Estimate","19,271","18,356","915"
"Monterey city, California","","",""
"    Estimate","14,034","12,417","1,617"
"Monterey Park city, California","","",""
"    Estimate","21,082","19,594","1,488"
"Moorpark city, California","","",""
"    Estimate","12,316","12,075","241"
"Moreno Valley city, California","","",""
"    Estimate","55,424","52,220","3,204"
"Morgan Hill city, California","","",""
"    Estimate","14,780","14,500","280"
"Mountain View city, California","","",""
"    Estimate","39,795","35,456","4,339"
"Murrieta city, California","","",""
"    Estimate","37,349","33,792","3,557"
"Napa city, California","","",""
"    Estimate","31,800","28,819","2,981"
"National City city, California","","",""
"    Estimate","16,577","15,566","1,011"
"Newark city, California","","",""
"    Estimate","15,697","15,086","611"
"Newport Beach city, California","","",""
"    Estimate","43,702","37,035","6,667"
"Norco city, California","","",""
"    Estimate","7,477","6,981","496"
"North Highlands CDP, California","","",""
"    Estimate","16,805","15,771","1,034"
"North Tustin CDP, California","","",""
"    Estimate","9,298","8,222","1,076"
"Norwalk city, California","","",""
"    Estimate","26,902","26,257","645"
"Novato city, California","","",""
"    Estimate","22,650","22,283","367"
"Oakdale city, California","","",""
"    Estimate","8,776","8,285","491"
"Oakland city, California","","",""
"    Estimate","182,574","168,413","14,161"
"Oakley city, California","","",""
"    Estimate","11,481","11,247","234"
"Oceanside city, California","","",""
"    Estimate","66,334","60,235","6,099"
"Oildale CDP, California","","",""
"    Estimate","13,358","12,444","914"
"Ontario city, California","","",""
"    Estimate","52,886","49,894","2,992"
"Orange city, California","","",""
"    Estimate","45,530","43,492","2,038"
"Orangevale CDP, California","","",""
"    Estimate","13,291","12,847","444"
"Orcutt CDP, California","","",""
"    Estimate","11,551","11,299","252"
"Oxnard city, California","","",""
"    Estimate","55,451","50,739","4,712"
"Pacifica city, California","","",""
