"Label (Grouping)","Total:","Total:!!With private health insurance","Total:!!No private health insurance"
"Norwalk city, California","","",""
"    Estimate","103,217","61,142","42,075"
"Novato city, California","","",""
"    Estimate","55,424","43,995","11,429"
"Oakdale city, California","","",""
"    Estimate","25,654","17,193","8,461"
"Oakland city, California","","",""
"    Estimate","431,488","281,263","150,225"
"Oakley city, California","","",""
"    Estimate","42,480","34,670","7,810"
"Oceanside city, California","","",""
"    Estimate","171,258","110,806","60,452"
"Oildale CDP, California","","",""
"    Estimate","34,290","11,909","22,381"
"Ontario city, California","","",""
"    Estimate","184,564","103,773","80,791"
"Orange city, California","","",""
"    Estimate","134,088","92,085","42,003"
"Orangevale CDP, California","","",""
"    Estimate","33,793","26,717","7,076"
"Orcutt CDP, California","","",""
"    Estimate","31,442","24,221","7,221"
"Oxnard city, California","","",""
"    Estimate","207,928","100,231","107,697"
"Pacifica city, California","","",""
"    Estimate","38,441","30,927","7,514"
"Palmdale city, California","","",""
"    Estimate","154,847","88,682","66,165"
"Palm Desert city, California","","",""
"    Estimate","53,064","33,328","19,736"
"Palm Springs city, California","","",""
"    Estimate","48,264","25,518","22,746"
"Palo Alto city, California","","",""
"    Estimate","64,864","56,212","8,652"
"Paramount city, California","","",""
"    Estimate","53,639","23,269","30,370"
"Pasadena city, California","","",""
"    Estimate","139,871","95,323","44,548"
"Patterson city, California","","",""
"    Estimate","26,028","17,182","8,846"
"Perris city, California","","",""
"    Estimate","79,141","39,298","39,843"
"Petaluma city, California","","",""
"    Estimate","59,972","48,833","11,139"
"Pico Rivera city, California","","",""
"    Estimate","61,638","37,425","24,213"
"Pinole city, California","","",""
"    Estimate","21,523","15,843","5,680"
"Pittsburg city, California","","",""
"    Estimate","72,374","37,305","35,069"
"Placentia city, California","","",""
"    Estimate","51,092","40,315","10,777"
"Pleasant Hill city, California","","",""
"    Estimate","34,646","29,451","5,195"
"Pleasanton city, California","","",""
"    Estimate","81,589","71,273","10,316"
"Pomona city, California","","",""
"    Estimate","150,391","81,591","68,800"
"Porterville city, California","","",""
"    Estimate","58,793","26,638","32,155"
"Port Hueneme city, California","","",""
"    Estimate","24,831","12,320","12,511"
"Poway city, California","","",""
"    Estimate","48,934","37,476","11,458"
"Ramona CDP, California","","",""
"    Estimate","24,938","16,372","8,566"
"Rancho Cordova city, California","","",""
"    Estimate","74,851","47,803","27,048"
"Rancho Cucamonga city, California","","",""
"    Estimate","174,318","123,341","50,977"
"Rancho Palos Verdes city, California","","",""
"    Estimate","41,506","35,179","6,327"
"Rancho San Diego CDP, California","","",""
"    Estimate","24,344","18,771","5,573"
"Rancho Santa Margarita city, California","","",""
"    Estimate","47,866","40,715","7,151"
"Red Bluff city, California","","",""
"    Estimate","20,748","10,215","10,533"
"Redding city, California","","",""
"    Estimate","91,334","53,770","37,564"
"Redlands city, California","","",""
"    Estimate","70,964","55,148","15,816"
"Redondo Beach city, California","","",""
"    Estimate","66,634","55,719","10,915"
"Redwood City city, California","","",""
"    Estimate","85,054","65,339","19,715"
"Reedley city, California","","",""
"    Estimate","25,499","8,226","17,273"
"Rialto city, California","","",""
"    Estimate","103,337","47,800","55,537"
"Richmond city, California","","",""
"    Estimate","109,648","62,512","47,136"
"Ridgecrest city, California","","",""
"    Estimate","28,786","21,755","7,031"
"Rio Linda CDP, California","","",""
"    Estimate","20,229","13,456","6,773"
"Riverbank city, California","","",""
"    Estimate","24,769","15,038","9,731"
"Riverside city, California","","",""
"    Estimate","328,929","191,542","137,387"
"Rocklin city, California","","",""
"    Estimate","68,398","57,772","10,626"
"Rohnert Park city, California","","",""
"    Estimate","43,238","32,898","10,340"
"Rosamond CDP, California","","",""
"    Estimate","19,280","14,677","4,603"
"Rosemead city, California","","",""
"    Estimate","53,642","27,491","26,151"
"Rosemont CDP, California","","",""
"    Estimate","19,869","13,552","6,317"
"Roseville city, California","","",""
"    Estimate","140,615","116,646","23,969"
"Rowland Heights CDP, California","","",""
"    Estimate","48,645","28,566","20,079"
"Sacramento city, California","","",""
"    Estimate","509,254","325,195","184,059"
"Salinas city, California","","",""
"    Estimate","154,754","77,520","77,234"
"San Bernardino city, California","","",""
"    Estimate","206,957","92,432","114,525"
"San Bruno city, California","","",""
"    Estimate","42,728","35,626","7,102"
"San Buenaventura (Ventura) city, California","","",""
"    Estimate","107,860","73,767","34,093"
"San Carlos city, California","","",""
"    Estimate","30,153","27,512","2,641"
"San Clemente city, California","","",""
"    Estimate","64,191","53,394","10,797"
"San Diego city, California","","",""
"    Estimate","1,384,227","968,450","415,777"
"San Dimas city, California","","",""
"    Estimate","33,387","23,567","9,820"
"San Fernando city, California","","",""
"    Estimate","24,247","14,634","9,613"
"San Francisco city, California","","",""
"    Estimate","877,730","668,801","208,929"
"San Gabriel city, California","","",""
"    Estimate","39,398","22,819","16,579"
"Sanger city, California","","",""
"    Estimate","25,257","14,008","11,249"
"San Jacinto city, California","","",""
"    Estimate","48,666","22,970","25,696"
"San Jose city, California","","",""
"    Estimate","1,018,336","736,107","282,229"
"San Juan Capistrano city, California","","",""
"    Estimate","35,850","24,593","11,257"
"San Leandro city, California","","",""
"    Estimate","88,351","61,069","27,282"
"San Lorenzo CDP, California","","",""
"    Estimate","25,311","18,334","6,977"
"San Luis Obispo city, California","","",""
"    Estimate","47,220","38,868","8,352"
"San Marcos city, California","","",""
"    Estimate","96,316","67,929","28,387"
"San Mateo city, California","","",""
"    Estimate","104,084","85,384","18,700"
"San Pablo city, California","","",""
"    Estimate","30,628","16,917","13,711"
"San Rafael city, California","","",""
"    Estimate","57,646","38,088","19,558"
"San Ramon city, California","","",""
"    Estimate","75,958","67,394","8,564"
"Santa Ana city, California","","",""
"    Estimate","328,971","154,064","174,907"
"Santa Barbara city, California","","",""
"    Estimate","90,906","57,748","33,158"
"Santa Clara city, California","","",""
"    Estimate","129,970","107,692","22,278"
"Santa Clarita city, California","","",""
"    Estimate","212,637","174,307","38,330"
"Santa Cruz city, California","","",""
