"Label (Grouping)","Total:","Total:!!With public coverage","Total:!!No public coverage"
"    Estimate","114,664","38,674","75,990"
"Fair Oaks CDP, California","","",""
"    Estimate","30,056","10,606","19,450"
"Fallbrook CDP, California","","",""
"    Estimate","29,197","14,012","15,185"
"Florence-Graham CDP, California","","",""
"    Estimate","70,149","40,456","29,693"
"Florin CDP, California","","",""
"    Estimate","44,145","25,090","19,055"
"Folsom city, California","","",""
"    Estimate","76,335","16,305","60,030"
"Fontana city, California","","",""
"    Estimate","214,201","80,993","133,208"
"Foothill Farms CDP, California","","",""
"    Estimate","42,561","18,481","24,080"
"Foster City city, California","","",""
"    Estimate","33,809","7,464","26,345"
"Fountain Valley city, California","","",""
"    Estimate","55,161","17,558","37,603"
"Fremont city, California","","",""
"    Estimate","240,437","48,093","192,344"
"French Valley CDP, California","","",""
"    Estimate","40,709","8,502","32,207"
"Fresno city, California","","",""
"    Estimate","525,394","267,007","258,387"
"Fullerton city, California","","",""
"    Estimate","137,717","46,461","91,256"
"Galt city, California","","",""
"    Estimate","26,391","11,851","14,540"
"Gardena city, California","","",""
"    Estimate","58,735","22,447","36,288"
"Garden Grove city, California","","",""
"    Estimate","171,030","72,645","98,385"
"Gilroy city, California","","",""
"    Estimate","58,881","20,848","38,033"
"Glendale city, California","","",""
"    Estimate","198,140","80,096","118,044"
"Glendora city, California","","",""
"    Estimate","50,835","14,663","36,172"
"Goleta city, California","","",""
"    Estimate","30,747","7,997","22,750"
"Granite Bay CDP, California","","",""
"    Estimate","21,114","5,236","15,878"
"Greenfield city, California","","",""
"    Estimate","20,445","10,966","9,479"
"Hacienda Heights CDP, California","","",""
"    Estimate","50,764","21,579","29,185"
"Hanford city, California","","",""
"    Estimate","56,102","27,901","28,201"
"Hawthorne city, California","","",""
"    Estimate","85,634","40,536","45,098"
"Hayward city, California","","",""
"    Estimate","157,853","53,228","104,625"
"Hemet city, California","","",""
"    Estimate","84,789","51,032","33,757"
"Hercules city, California","","",""
"    Estimate","26,232","6,017","20,215"
"Hesperia city, California","","",""
"    Estimate","95,538","42,389","53,149"
"Highland city, California","","",""
"    Estimate","55,138","22,995","32,143"
"Hollister city, California","","",""
"    Estimate","41,018","17,192","23,826"
"Huntington Beach city, California","","",""
"    Estimate","198,877","65,172","133,705"
"Huntington Park city, California","","",""
"    Estimate","57,432","29,433","27,999"
"Imperial Beach city, California","","",""
"    Estimate","26,504","11,638","14,866"
"Indio city, California","","",""
"    Estimate","91,058","43,875","47,183"
