"Label (Grouping)","Total:!!In labor force:!!Civilian labor force:","Total:!!In labor force:!!Civilian labor force:!!Employed","Total:!!In labor force:!!Civilian labor force:!!Unemployed"
"    Estimate","25,040","24,532","508"
"Rosamond CDP, California","","",""
"    Estimate","10,856","10,358","498"
"Rosemead city, California","","",""
"    Estimate","26,133","25,558","575"
"Rosemont CDP, California","","",""
"    Estimate","10,775","10,189","586"
"Roseville city, California","","",""
"    Estimate","73,568","71,050","2,518"
"Rowland Heights CDP, California","","",""
"    Estimate","26,106","23,689","2,417"
"Sacramento city, California","","",""
"    Estimate","268,735","253,812","14,923"
"Salinas city, California","","",""
"    Estimate","70,978","68,201","2,777"
"San Bernardino city, California","","",""
"    Estimate","99,028","92,821","6,207"
"San Bruno city, California","","",""
"    Estimate","25,499","24,662","837"
"San Buenaventura (Ventura) city, California","","",""
"    Estimate","58,017","55,527","2,490"
"San Carlos city, California","","",""
"    Estimate","17,180","16,562","618"
"San Clemente city, California","","",""
"    Estimate","33,394","31,778","1,616"
"San Diego city, California","","",""
"    Estimate","772,409","733,667","38,742"
"San Dimas city, California","","",""
"    Estimate","15,490","15,214","276"
"San Fernando city, California","","",""
"    Estimate","11,876","11,666","210"
"San Francisco city, California","","",""
"    Estimate","559,900","539,057","20,843"
"San Gabriel city, California","","",""
"    Estimate","21,073","20,564","509"
"Sanger city, California","","",""
"    Estimate","12,380","11,536","844"
"San Jacinto city, California","","",""
"    Estimate","20,796","18,965","1,831"
"San Jose city, California","","",""
"    Estimate","562,564","542,373","20,191"
"San Juan Capistrano city, California","","",""
"    Estimate","18,494","17,464","1,030"
"San Leandro city, California","","",""
"    Estimate","52,827","50,400","2,427"
"San Lorenzo CDP, California","","",""
"    Estimate","12,660","12,073","587"
"San Luis Obispo city, California","","",""
"    Estimate","27,300","26,411","889"
"San Marcos city, California","","",""
"    Estimate","47,274","46,216","1,058"
"San Mateo city, California","","",""
"    Estimate","62,556","60,690","1,866"
"San Pablo city, California","","",""
"    Estimate","15,002","14,413","589"
"San Rafael city, California","","",""
"    Estimate","31,790","30,182","1,608"
"San Ramon city, California","","",""
"    Estimate","40,439","39,024","1,415"
"Santa Ana city, California","","",""
"    Estimate","172,468","164,241","8,227"
"Santa Barbara city, California","","",""
"    Estimate","53,707","52,637","1,070"
"Santa Clara city, California","","",""
"    Estimate","79,214","76,629","2,585"
"Santa Clarita city, California","","",""
"    Estimate","107,862","103,951","3,911"
"Santa Cruz city, California","","",""
"    Estimate","36,353","34,483","1,870"
"Santa Maria city, California","","",""
"    Estimate","50,336","47,955","2,381"
"Santa Monica city, California","","",""
"    Estimate","51,730","49,981","1,749"
"Santa Paula city, California","","",""
"    Estimate","14,569","13,870","699"
"Santa Rosa city, California","","",""
"    Estimate","95,488","92,443","3,045"
